Node,Location,Employer,College
U14665,['urbana-champaign illinois area'],"['ara', 'beihang university', 'eye center', 'iss inc.', 'jingyi futures co. ltd', 'university of illinois medical center']",['beihang university']
U24117,['ithaca new york area'],"['at&amp;t', 'blizzard entertainment']",['tsinghua university']
U8699,['urbana-champaign illinois area'],"['cornell university', 'google', 'ibm', 'microsoft', 'university of illinois at urbana-champaign']",['indian institute of technology madras']
U15321,['singapore'],"['itwin pte ltd.', 'tigerit bangladesh limited', 'weike gaming technology']",['bangladesh university of engineering and technology']
U7117,['greater pittsburgh area'],"['intel corporation', 'john a. rogers research group', 'paul kenis research group']",['university of illinois at urbana-champaign']
U4634,['urbana-champaign illinois area'],"['ge global research', 'university of illinois at urbana-champaign']",['punjab engineering college']
U27541,['greater san diego area'],"['cisco systems', 'qad inc', 'uc san diego']",['shanghai jiaotong university']
U9655,['greater chicago area'],"['arcelormittal', 'camp manitoqua and retreat center', 'lincoln-way community high school', 'university of illinois kinesiology department']",['university of illinois at urbana-champaign']
U1196,['lawrence kansas area'],"['american institutes for research', 'center for educational testing and evaluation', 'cornell university', 'educational testing service', 'national center for improvement of educational assessment inc', 'nyma inc', 'pinkerton computer consultants inc', 'reading is fundamental inc', 'university of virginia']",['cornell university']
U22019,['greater chicago area'],"['act one research services inc.', 'jewish child and family services', 'north shore pediatric therapy', 'university of illinois at urbana-champaign']",['indiana university bloomington']
U9657,['urbana-champaign illinois area'],"['kraft foods', 'san diego gas &amp; electric', 'technische universit&#xe4;t darmstadt', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U13961,['urbana-champaign illinois area'],"['northern illinois university', 'university of illinois at urbana-champaign']",['sharif university of technology']
U15932,['greater new york city area'],"['brookhaven national laboratory', 'johns hopkins university']",['indian institute of technology bombay']
U14136,['bloomington normal illinois area'],"['camp jrf', 'illinois state university', 'jcc of chicago', 'university of illinois at chicago &amp; jewish child and youth services', 'university of illinois at chicago-institute for juvenile research and hyperactivity attention and l', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U24173,['ontario canada'],"['apostrophe solutions corp.', 'aramin information technology', 'brock university']",['esfahan university']
U7283,['urbana-champaign illinois area'],"['ample auto tech', 'cmai', 'ernst &amp; young', 'puma india']",['university of illinois at urbana']
U22072,['greater chicago area'],"['baby-speaking', 'private', 'round ground metals inc.', 'university of illinois at urbana-champaign', 'wellness revolution']",['university of illinois at urbana-champaign']
U7109,['eugene oregon area'],"['alternative spring break at university of illinois', 'illinois leadership center university of illinois at urbana-champaign', 'leadership conferences &amp; programs', 'm-i-c illinois', 'office of business and financial services (obfs) university of illinois at urbana-champaign', 'office of global and online education university of oregon', 'southwestern company', ""women's resources center university of illinois at urbana-champaign""]","['shanghai american school', 'university of illinois at urbana-champaign']"
U5976,['urbana-champaign illinois area'],"['copper creek church', 'cv lloyde']",['illinois wesleyan university']
U9689,['cincinnati area'],"['center for plasma and material interactions', 'general atomics']",['university of illinois at urbana-champaign']
U2209,['urbana-champaign illinois area'],"['buraglio consulting', 'country financial', 'esnet', 'national center for supercomputing applications', 'sol tec', 'university of illinois']",['illinois state university']
U24084,['san francisco bay area'],"['apple', 'canesta', 'netease']",['tsinghua university']
U6021,['urbana-champaign illinois area'],['sony biotechnology inc.'],['illinois wesleyan university']
U13968,['greater chicago area'],"['affluence corporation', 'psycray corp', 'searchchannel llc', 'usa strategies inc.']",['north central college']
U7373,['washington d.c. metro area'],"['brookings institution', 'muslim public affairs council', 'office of governor of illinois', 'syrian emergency task force (setf)']",['university of illinois at urbana-champaign']
U7272,['greater seattle area'],"['tableau software', 'whitepages', 'yahoo! inc.']",['university of washington']
U21998,['greater chicago area'],"['illinois college advising corps', 'university of illinois at chicago', 'victoria amplifiers']",['university of illinois at chicago']
U6000,['urbana-champaign illinois area'],"['hearts at home', 'merge llc', 'merge partners inc', 'state farm insurance', 'vineyard church']",['illinois state university']
U1175,['greater boston area'],"['achievement data inc.', 'measured progress', 'questar assessment inc.']",['gustavus adolphus college']
U13981,['raleigh-durham north carolina area'],"['institute for transportation research and education (itre)', 'university of illinois at urbana-champaign']",['sharif university of technology']
U15968,['ulm area germany'],"['booz &amp; company', 'carl zeiss vision', 'freudenberg']",['indian institute of technology bombay']
U15299,['bangladesh'],"['jaxara', 'osource bangladesh']",['bangladesh university of engineering and technology']
U9149,['greater boston area'],['umass donahue institute'],['whitworth college']
U6011,['kansas city missouri area'],"['church of harvest', 'click2rank consulting llc', 'innovadex', 'mercy &amp; truth medical missions', 'search fanatics', 'security benefit', 'seo by jt', 't-mobile', 'vizion interactive']",['ouachita baptist university']
U18524,['miami fort lauderdale area'],"['duque &amp; ruiz consulting s.l.', 'meta4', 'newknow', 'oracle', 'seebeyond', 'sun microsystems', 'ultimate software']",['universidad complutense de madrid']
U22017,['greater chicago area'],"['apple', 'comed', 'notes-n-quotes', 'olow charities', 'praire ensemble', 't-initiative foundation', 'university of illinois']",['university of illinois']
U15935,['greater new york city area'],"['boston consulting group', 'itc limited']","['harvard business school', 'indian institute of technology bombay']"
U25605,['greater boston area'],"[""friendly's restaurant"", 'iref iabs department', 'measured progress']",['hesser college']
