Node,Location,Employer,College
U22861,['hyderabad area india'],"['bharti airtel limited', 'reliance']",['birla institute of technology and science']
U27758,['san francisco bay area'],['google'],['tongji university']
U14150,['phoenix arizona area'],"['ja air center', 'transpac aviation academy', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U24183,['kuala lumpur malaysia'],"['consolsys sdn bhd', 'gaj (jokaar educational group)', 'idea negar energy sabz', 'javaneh software co.', 'mabna card aria', 'persian easy payment', 'tsp - keymile']",['qazvin azad university']
U7141,['greater seattle area'],"['amazon', 'qualcomm', 'research in motion', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U4606,['urbana-champaign illinois area'],"['3m', 'university of illinois at urbana-champaign']",['tsinghua university']
U21969,['urbana-champaign illinois area'],"[""hillery's bar-b-que"", 'university of illinois at urbana-champaign', 'universty of illinois residence halls']",['university of illinois at urbana-champaign']
U4005,['greater boston area'],"['bloomberg', 'wayfair']",['shanghai jiao tong university']
U14123,['greater new york city area'],"['ieee', 'niksun', 'university of illinois at urbana-champaign']",['university of illinois - urbana champaign']
U7377,['austin texas area'],"['cancer prevention and research institute of texas', 'hostgator.com', 'threads of time', 'university of illinois at urbana-champaign']",['texas a&amp;m university']
U9711,['greater chicago area'],"['fermilab', 'ibm', 'qualcomm', 'wolfram research']",['university of illinois at urbana-champaign']
U2180,['urbana-champaign illinois area'],"['health alliance medical plans', 'luster software', 'personalcare', 'ral recoveries', 'riverbed technology']",['university of illinois at urbana-champaign']
U7402,['greater chicago area'],"['huntington learning center', 'missionyouth pastoral support services', 'students for life of illinois', 'uiuc communications library', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U28772,['san francisco bay area'],"['cycorp', 'honda research institute usa inc.', 'ibm']",['birla institute of technology and science']
U27761,['shanghai city china'],"['3m', 'general electric']",['shanghai jiao tong university']
U8795,['urbana-champaign illinois area'],"['nec laboratories america', 'nvidia', 'pinpoint!me', 'university of illinois at urbana-champaign']",['amirkabir university of technology - tehran polytechnic']
U15197,['urbana-champaign illinois area'],"['campus information technologies and educational services', 'qualcomm innovation center inc', 'smartplay technologies']",['university of illinois at urbana-champaign']
